title,rating
"It's Okay, That's Love",8.3
Star Wars: Episódio IV - Uma Nova Esperança,8.6
Grizzy and the Lemmings,7
Paradox,4
The Twelve,7.5
Lens,6.7
Brave New Jersey,0
The Exorcism Of Karen Walker,3.4
Loco Love,4.4
The Mitchells vs. The Machines,7.7
Mute,0
Top of the Lake,7.5
Wild Catch / Chasing Monsters,0
プロジェクトA,7.4
Saheb Bibi Golaam,6.5
Power Rangers: Megaforce: The Robo Knight Before Christmas,0
null,4.9
Mahabharat,5.4
Gnome Alone,5.7
The Black Godfather,7.4
Delivery Man,6.4
Framed! A Sicilian Murder Mystery,6.8
Friends with Benefits,6.5
"¡Ay, mi madre!",3.9
Boi,5
Black Snow,6.2
null,7.3
null,7.1
No Country for Old Men,8.1
Quam's Money,0
null,7.5
null,5.4
Period. End of Sentence.,7.4
Benchwarmers 2: Breaking Balls,4.1
Beyblade Burst,6.7
Bram Stoker's Dracula,7.4
Om Shanti Om,6.7
null,5.3
Ideachi Kalpana,5.8
I Am Jane Doe,6.8
Girls Trip,6.2
Test Patterns,0
Angel's Last Mission: Love,7.8
People You May Know,5.6
The Promised Land,0
PatoAventuras,8.2
Crocodile Dundee in Los Angeles,4.8
Example Mixed FN Show en-US,0
The Nightingale,7.3
Dirty Dancing,7
"Bring It On, Ghost",7.6
Bioscope,5.7
This Is Us,8.6
Bob Zoom,0
Total Recall,6.2
Solomon's Perjury II: Judgement,6.3
Southern Survival,5.8
Modern Times,8.5
City of God,8.6
K-On!,7.8
Chicago Party Aunt,5.3
The Milk System,7.1
Really Love,6.1
Crayon Shin-chan: Roar! Kasukabe Animal Kingdom,6.4
Once Upon a Time in Hollywood,7.6
Luccas Neto em: O Hotel Magico,0
The House,6.9
"I Do, I Do",6.7
The Karate Kid,7.3
Disciples of the 36th Chamber,6.5
The Boulet Brothers Dragula,8
Man of Tai Chi,6.1
Abnormal Summit,7.8
Trixie Mattel: Moving Parts,7.3
Diana,5.5
Monster High: Welcome to Monster High,5.6
Screwed,5.7
Grandma's Wedding,5.5
Chance Pe Dance,4.7
Wanda and the Alien,0
Freedom Writers,7.6
STAND BY ME Doraemon,7.4
null,7.1
Ricki and the Flash,5.9
Prince of Peoria,6.1
Above Suspicion,5.7
The Walk,7.3
High School Musical,5.5
Talaash,7.2
The Fugitive,7.8
Convergence: Courage in a Crisis,5.5
On My Block,7.9
Vince and Kath and James,6.9
The Game,7.7
Grudge,5.4
Tomcats,5.4
"Attention, Love!",7.1
Animal Crackers,5.8
Paw Patrol,6.1
The Freedom to Marry,6.5
Get In,5.6
null,6.5
Shuddhi,7.9
A Corpse Is Buried Under Sakurako's Feet,6.9
Unrequited Love,7.2
Anne+: The Film,6.2
The Polka King,6
The Hole in the Ground,5.7
Schindler's List,8.9
Merlí. Sapere Aude,7.6
null,6
Get Even,6.5
Luck-Key,6.9
Walking with Dinosaurs: Sea Monsters,0
null,3.8
Humans,8
The Hollars,6.6
DEATH NOTE,9
The C Word,7.6
Home Is Where the Killer Is,0
Marvel Anime: Wolverine,6.3
Monty Don's Italian Gardens,8.4
Cheer Up!,7.4
Kaguya-sama: Love Is War,8.5
My Boss's Daughter,4.7
DreamWorks Kung Fu Panda Awesome Secrets,7.1
Happy Times,0
Welcome,7
The Cat Returns,7.2
Think Like a Man Too,5.8
Nisekoi (False love),7.2
Joan Didion: The Center Will Not Hold,7.5
Racing Stripes,5.2
Wallace & Gromit: A Matter of Loaf and Death,0
Evil Genius: the True Story of America's Most Diabolical Bank Heist,7.5
Waves,7.6
Charlie Says,5.9
Wasserette 10 Hour Loop,0
Manjhi: The Mountain Man,8
Lifeforce,6.2
We Couldn't Become Adults,6.6
Samarppanam,5.7
Cop Out,5.6
MasterChef UK,7.3
Adaptation.,7.7
Graduation,7.3
Creating The Queen's Gambit,0
The Crow,7.6
The Investigator: A British Crime Story,5.7
Chhota Bheem & Krishna: Pataliputra- City of the Dead,0
Horrid Henry's Gross Day Out,6.2
Blippi The Musical,0
Deadly Switch,4.6
The Melancholy of Haruhi Suzumiya,0
Halloween,6.1
Love 101,7.5
Pieces Of Her,6.6
O Tesouro 2 - O Livro dos Segredos,6.5
Therapy,0
The Degenerates,6.2
Ice Guardians,7.5
Underdogs,6.5
null,7.5
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6
Dark Desire,6.5
Ashby,6.4
James Acaster: Repertoire,8.5
Philips and the Monkey Pen,7.3
Zodiac,7.7
Bana Masal Anlatma,7.4
Dave Chappelle: Sticks & Stones,8.5
Teachers,7.8
null,7.4
Michael Lost and Found,5.2
Merry Men 2: Another Mission,6.5
Shiny_Flakes: The Teenage Drug Lord,7.3
Our Souls at Night,6.9
Inside the Freemasons,5.4
Passing,6.7
RattleSnake - The Ahanna Story,5.3
Indiana Jones and the Temple of Doom,7.5
The Day I lost My Shadow,6
An Imperfect Murder,3.1
Arizona,5.8
Hanna,6.8
Orange,6.7
Chhota Bheem - Dinosaur World,0
Awara Paagal Deewana,6.2
Strange Empire,6.4
Wild Oats,5.7
American Experience: The Circus,0
Return of the Prodigal Son,7.3
ぼくのエリ 200歳の少女,7.9
Vantage Point,6.6
Rostered On,7
Tarzan II,5.6
ChuChuTV Surprise Eggs Learning Videos (English),0
My Horrible Grandma,5.3
Things Heard & Seen,5.3
Back to the Outback,6.6
The Mortal Instruments: City of Bones,5.9
In Order of Disappearance,7.2
Lovestruck in the City,7.7
Live Up To Your Name,8
タイヨウのうた,7.1
null,7.7
The Claudia Kishi Club,6.9
Get on Up,6.9
Medal of Honor,8.3
Top Secret UFO Projects: Declassified,5.5
Eric ldle's What About Dick?,7.5
Nova,0
Kyokasho ni Nai!,0
Flavorful Origins,7.8
Is It Wrong to Try to Pick Up Girls in a Dungeon?,7.4
null,3.4
The Boy Who Harnessed the Wind,7.6
Mad for Each Other,7.9
Supernatural,8.4
Drifting Home,0
P Se PM Tak,3.9
Haikyu!! Movie 4: Battle of Concepts,7.8
Creeped Out,6.7
Couple of Days,6.5
Love for Sale,7.5
Cannabis,6.9
One Piece Stampede,7.6
Croupier,7.1
Titanic,7.8
Step Up 3D,6.2
The White Helmets,7.5
The Innocents,6.3
The Jungle Book,4.3
Official Secrets,7.3
Avvai Shanmughi,7.9
Spirit: Stallion of the Cimarron,7.2
A Most Violent Year,7
Paul Hollywood's Big Continental Road Trip,7.4
Prayers for the Stolen,7.3
After Maria,4.6
Tum Milo Toh Sahi,5.7
Trouble with the Curve,6.8
Work It,6.2
Nights in Rodanthe,6
From One Second to the Next,7.4
Into the Grizzly Maze,5.3
Dhanak,7.9
What They Had,6.7
First Sunday,4.6
Teiichi: Battle of Supreme High,6.5
Frozen Planet,9
Chicago Med,7.6
Game Over,3.1
Groundhog Day,8
Ek Jaan Hain Hum,6.4
Reboot: The Guardian Code,3.8
Ai Uta: My Promise To Nakuhito,5.3
Meteor Garden,7.8
Care Bears & Cousins - New Year's Eve Countdown,0
Hans Zimmer: Live in Prague,9.1
Buddha,8.6
The Sparks Brothers,7.9
The Terminator,8
Couples Retreat,5.5
The Frozen Dead,6.3
null,7.5
Who Would You Take to a Deserted Island?,5.3
Apaharan,7.4
null,7.1
National Bird,7
null,7.7
What Men Want,5.4
A Flying Jatt,3
The Iceman,6.8
null,7.3
Restrepo,7.5
The Magic Pill,7.1
Mighty Little Bheem,6.7
The Great British Baking Show: Masterclass,0
Meskina,5.7
Grandmother's Farm Part 2,5.3
Harry Potter and the Deathly Hallows: Part 1,7.7
Your Son,6.1
Teen Beach Movie,6
Nell,6.5
Laid-Back Camp,8.1
HENSUKI: Would You Even Fall in Love with a Pervert as Long as It's a CutieF,6.3
Perú: Tesoro escondido,6.1
Operation Mincemeat,0
Mickey's Magical Christmas: Snowed in at the House of Mouse,6.7
Unexpected,5.7
A Certain Magical Index,6.9
Bad Santa 2,5.6
Nathicharami,7.3
When Louis Met...,0
A Mission in an Old Movie,0
What Makes a Psychopath?,6.1
Iron Fists and Kung-Fu Kicks,6.6
Dieter Nuhr: Nuhr in Berlin,4.8
null,7.5
null,3.8
Easy,6.9
Confessions of a Serial Killer with Piers Morgan,5.1
Collide,5.7
Bombay,8.1
Pyaar Ka Punchnama,7.6
A Stranger Outside,0
Coffee with D,4.4
Convict,0
The Players,0
At First Sight,6
Somewhere Only We Know,7.3
The Occupant,6.4
Igor,6
null,3.4
21 Thunder,6.2
When Love Happens,4.9
Colin in Black & White,5.3
Surga Yang Tak Dirindukan,7.8
Jack o Caçador de Gigantes,6.2
映画 Yes!プリキュア5GoGo! お菓子の国のハッピーバースディ♪,6.9
Mudança de Hábito,6.5
Elevator Baby,6.9
Holy Hell,7.1
Get Smart,6.5
Counterpunch,6.7
Isekai Quartet,7
Marseille,6.9
Sextuplets,4.5
Scream 4,6.2
Love Shot,5.4
Smaller and Smaller Circles,6.7
Transformers: Rescue Bots,6.5
Stereo,0
Darwin’s Game,7.3
Eye For An Eye,6.6
The Titan,4.8
Lupt,5.5
Liv and Maddie,6.3
"I Love You, Man",7
Watchman,5.4
John Lewis: Good Trouble,7.7
My Holo Love,7.6
Poacher,0
Kaali Khuhi,3.5
Haikyu!! Movie 3: Genius and Sense,7.4
Maid in Manhattan,5.3
La familia P. Luche,7.7
Nuestra Lucha Libre,7.5
Dark Chocolate,4.2
Change in the Air,5.6
All For Love,7.3
The Accountant of Auschwitz,7.3
The Girl with the Dragon Tattoo,7.8
Remember Me,7.1
null,7.2
Jonathan Creek: Special 2016: Daemons Roost,0
Heal,7
Nneka The Pretty Serpent,3.8
Katekyo no Sense.,0
Incendies,8.3
Tales of the City (1993),0
Nice Guy,0
Doctor Strange,7.5
Democrats,7.5
The League of Gentlemen,8.4
The Perfect Man,5.5
Planet Earth II,9.5
"Good Morning, Verônica",7.6
The Place Beyond the Pines,7.3
Blood-C: The Last Dark,6.1
Five Nights in Maine,4.7
Tarung Sarung,6.4
Once in a Lifetime Sessions with Noel Gallagher,0
Thomas & Friends: Calling All Engines!,5.9
Monkey Up,3.8
Titletown High,5.5
Futmalls.com,6.6
null,7.2
Lawless Lawyer,7.6
null,7
Occupied,7.7
Catfish,7.1
Deadcon,2.8
The Queen,7.2
School of Rock,7.1
Go Karts,5.9
Platoon,8.1
Ghost in the Shell,8
Colony,7.4
It Was Fifty Years Ago Today! The Beatles: Sgt. Pepper & Beyond,0
Dream Big: Engineering Our World,6.4
Killer Klowns from Outer Space,6.2
Kaiji,8.3
Kingsglaive: Final Fantasy XV,6.8
null,6.3
Jonathan,5.9
Black Money Love,7.4
Woodstock: Three Days that Defined a Generation,7.6
Shot Caller,7.3
Nailed It! Mexico,6.1
Tune in for Love,0
Reply 1988,9.2
"As Crónicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",6.9
The Negotiator,7.3
Life of the Party,5.6
テラスハウス,0
3096 Tage,6.5
Khubsoorat,7.6
Stowaway,5.6
null,5.7
Prison Break,8.3
null,4.1
The Stranger,7.4
Alter Ego,5.7
Grimgar of Fantasy and Ash,7.4
Lesson of the Evil,6.6
Once Upon a Time in America,8.3
Business Proposal,8.8
The Bad Batch,0
Milea,6.3
null,7
コードギアス 亡国のアキト,0
null,6.2
The Chair,7.2
Doctor (Telugu),7.6
Bangkok Love Stories: Innocence,6.8
Tiffany Haddish: Black Mitzvah,6.3
GO,7.4
The Other Woman,6
My Honor Was Loyalty,4.3
Streets of Fire,6.7
Little Lunch: The Nightmare Before Graduation,0
Journey to the Center of the Earth,5.8
Teshan,5.2
Metallica: Some Kind of Monster,7.5
Gremlins,7.3
Goodnight DJ,0
The Mistress,6.4
Splatter,3.1
Itaewon Class,8.2
El club de los insomnes,6.3
Kasanova,6.6
Code Geass: Lelouch of the Rebellion - Movie Trilogy,8.7
Psycho-Pass サイコパス,8.2
Fatma,7.4
Roger Corman's Operation Rogue,4.3
The Emoji Movie,3.3
null,7.2
Bad Vegan: Fame. Fraud. Fugitives.,0
The App That Stole Christmas,3.5
O Especialista,5.6
"Houston, We Have a Problem!",7.9
Movie 43,4.3
Kick-Ass,7.6
Last Flight to Abuja,4.6
Fired Up,6.1
Nature's Weirdest Events,6.9
null,6.5
Naomi Osaka,6.2
A Star is Born,7.6
Oxygen,6.5
Evil's Wave,5.7
Aunty Donna's Big Ol' House of Fun,8
There's Someone Inside Your House,4.8
Sarbath,5.7
The Zoya Factor,4.2
La Grande Chaumière Violette,8
The Promised Neverland,8.4
Mantra,5.2
Cop Watchers,5.6
Midnight Sun,6.6
The Taking of Pelham 1 2 3,6.4
A Love to Last,8.8
My Little Pony: A New Generation,6.9
The Stand at Paxton County,6.4
null,6.8
Luis Miguel - The Series,8
Obsession: Dark Desires,7.3
"Nightmare Tenants, Slum Landlords",0
One Night Stand,3.1
In Defense of a Married Man,5.7
null,5.9
Tickling Giants,0
Pope Francis: A Man of His Word,6.4
The Usual Suspects,8.5
Bad Guys: Vile City,7.6
Journey to Greenland,6.4
Gladiator,8.5
null,8.2
"Michael Bolton's Big, Sexy Valentine's Day Special",6.7
Y.M.I. - Yeh Mera India,0
Gavin & Stacey,8.1
Where the Heart Is,6.7
Batman Ninja,5.6
I Am Divine,7.6
Hunter × Hunter: The Last Mission,6.8
Brightburn,6.1
In Dubious Battle,0
Accident,6.6
Zak Storm,6.8
The Way He Looks,7.9
Shine Your Eyes,6.5
The Disciple,7.2
Triumph of the Heart,7.4
Three Words to Forever,6.9
The Road to Love,8
The Secrets of Your Food,8.1
Pokémon The Series: Indigo League,7.5
Divergent,6.6
Madaari,7.6
Alexandria ... Why?,7.4
Stay Here,7.5
The Hustle,5.5
Ringu,7.2
The Mess You Leave Behind,6.8
Transformers: War for Cybertron: Earthrise,0
Ultimate Beastmaster Mexico,7.3
null,4.9
null,6.1
The Mummy,5.4
Rangreza,5.2
Little Things,8.3
Encerrados,6.6
Fast & Furious Spy Racers,5.6
Elizabeth,7.4
Freeway: Crack in the System,7.1
null,5.5
Jojo's World,6.9
The Hunt,6.5
A Maldição do Vale,6.5
The Witcher: Nightmare of the Wolf,7.3
Polaroid,5.1
PASSENGERS,5.9
Diana: 7 Days That Shook the Windsors,7.5
Romeo Is Bleeding,0
Grand Blue,7.9
Cheech & Chong's Still Smokin,5.6
Kalushi: The Story of Solomon Mahlangu,6.6
The Thirteenth Floor,7.1
Marie Antoinette,6.5
Fatal Destiny,0
Legally Blondes,3.7
Momo Salon,6.2
The Lucky One,6.5
null,5.3
Komi Can't Communicate,8
Dries,6.9
null,6.4
New York Minute,5
The Bourne Ultimatum,8
Patron Mutlu Son Istiyor,6.1
Galveston,6.2
Prison School,7.6
Salaakhen,5.8
Saturday Night Fever,6.8
Fantasia,5.3
The Love Affair,6.3
Ghosts of Sugar Land,5.5
Hot Girls Wanted,6.1
100 Humans,5.8
Monzón: A Knockout Blow,7.9
Word Party,5.8
null,6.8
null,0
Big Mouth,7.9
Madea's Family Reunion,5.3
The Rugrats Movie,5.9
Million Joe,0
The Unicorn,7.2
Liga da Justiça vs. Jovens Titãs,7
Seized,5.3
Man on a Ledge,6.6
The Mayor,6.3
Palm Beach,5.6
Final Score,5.8
null,6.8
Starred Up,7.4
Børning 2,5.9
Monty Don's French Gardens,7.9
Naeil's Cantabile,7.3
Prison Playbook,8.4
Father of Four: The return of uncle Sofus,3.8
Bolívar,7.4
Cinema Paradiso,8.5
null,3.7
Bombay Talkies,6.7
The Body,5.5
null,7.5
Gilmore Girls: A Year in the Life,7.6
Making Unorthodox,0
Apache: The Life of Carlos Tevez,6.7
null,4.6
Stand and Deliver,7.3
Zootrópolis,8
Rubaru Roshni,8.8
Pinkfong Best Kids Songs,0
Gantz,7.2
Kisaan,5.3
Where the Money Is,6.3
Girl That Can See It,7.3
Young Sheldon,7.5
The House on Coco Road,7.5
Norm of the North: Keys to the Kingdom,3
Seriously Single,4.5
null,7
Skin Trade,5.6
Best Lover,6.8
Adventure Beast,5.2
Kingdom,8.4
The Place Promised in Our Early Days,7
Tughlaq Durbar,5.4
Jaws,8
Candyman,6.7
Charmed,7.1
null,0
Sierra Burgess Is a Loser,5.7
Revenge Porn: Pain of Love,0
7 Khoon Maaf,6.2
12 Strong,6.6
My Christmas Inn,5.6
Wakfu: The Quest for the Six Eliatrope Dofus,0
The Fury of a Patient Man,6.7
Invasion 1897,2.9
Alpha and Omega,5.2
Rocky II,7.3
John Wick: Chapter 2,7.5
AllI Wish,6.1
Bad Trip,6.6
null,7.6
Holidate,6.1
The Fortress,6.8
She's the One,6.4
La Gran Ilusión,6.8
Take Your Pills,6.4
Galaxy Quest,7.3
null,5.7
null,7.6
The Little Hours,5.8
Santa Paws 2: The Santa Pups,4.9
StarBeam: Beaming in the New Year,5.8
Huge in France,6.8
San Pietro,6.6
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,6.9
The Curious Case of Benjamin Button,7.8
El infierno,7.7
Undercover Grandpa,0
Toradora!,8
Mike Epps: Only One Mike,4.8
Angel of Christmas,6.2
The Girl and the Gun,0
Paskal,6.8
Badland,5.5
Monster High: Freaky Fusion,6.9
Ossan's Love (2016),6.9
Yesterday,6.8
The Figurine (Araromire),4.4
"Good Night, and Good Luck.",7.4
Jiro Dreams of Sushi,7.9
Domino,4.4
The Old Thieves: The Legend of Artegios,8.1
Deadly Scholars,0
Death Wish,6.3
Barrier Master,6.8
Heart & Soul,0
Michael,5.2
Children of Adam,7.8
Waiting,0
Fary Is the New Black,6
Cross: Rise of the Villains,2
Alien Autopsy: (Fact or Fiction?),4.8
"Everything, Everything",6.4
Nailed It! France,6.5
null,6.4
null,7.8
Maha Samudram (Tamil),0
Mythily Veendum Varunnu,2.2
The Stolen,5.3
The Hitman's Wife's Bodyguard,6.1
"Batman v Superman: Dawn of Justice
					",6.4
The Forest of Love,6.3
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7
It Comes,6.1
Masameer Classics,8.3
No Longer kids,9
null,6.8
EVANGELION: DEATH (TRUE)²,8.1
Mirage,8.5
Borderliner,6.8
The Midnight Meat Train,6
When Calls the Heart,8.1
Jeff Dunham: Controlled Chaos,7.5
Habibie & Ainun,7.6
The Privilege,4.6
A Fairly Odd Summer,3.9
Oculus,6.5
Iqbal,0
In Good Company,6.4
Kal Ho Naa Ho,7.9
Bonnie e Clyde - Uma Vida de Crime,6.5
Challenger,7.8
The Marksman,0
The Hitcher,5.6
Hey Arnold! The Jungle Movie,7.5
To and From New York,5.6
Omo Ghetto: the Saga,7.2
It's Now or Never,0
40 Sticks,6.7
"Frankenstein’s Monster’s Monster, Frankenstein",5.9
Deep Impact,6.2
null,9.2
null,5
Miss Saigon 25th Anniversary Performance,8.2
Bridgerton - The Afterparty,0
The Mansion,4.6
Close-Knit,7
Only the Dead,7.7
Changeling,7.7
My Father is Strange,8.2
Last Rampage,5.7
The Forbidden Kingdom,6.6
BG Personal Bodyguard,6.2
The Guardian,0
null,5.9
Paper Towns,6.2
Bharya Athra Pora,3.7
Happy 300 Days,5
Goon: Last of the Enforcers,5.8
The Mortified Guide,7.8
Shooter,7.5
Ek Main Aur Ekk Tu,5.7
Medical Police,6
Hitler of the Andes,6.3
Monster Trucks,5.7
Free Rein: Valentine's Day,8
Freud,6.5
The Peanuts Movie,7.1
Mirai,7
Jump In!,5.4
Fathers & Daughters,7.1
The Dragon Prince,8.4
The Deep,7.9
Outlaws,6.9
Paranoid,6.7
Lego DC Comics: Batman Be-Leaguered,6.5
Dil Vil Pyaar Vyaar,6.5
Lost Bullet,6.2
Empire of the Tsars: Romanov Russia with Lucy Worsley,7.6
Informer,7.8
Legal High,7.5
null,7.1
Saint Seiya: The Hades Chapter,8.5
null,7.4
The High School Heroes,0
FateFstay night,7.3
Upin&Ipin,5.9
Eeda,7.1
A Suitable Boy,5.8
Killer Under the Bed,4.4
Rich in Love,5.9
null,6.8
Clinical,5.1
Heartbreak High,7.8
Unknown Origins,6.1
BORDER,0
null,5.5
Monster Run,5.2
The Tinder Swindler,7.2
Edgar Rice Burroughs' Tarzan and Jane,4.8
Sonic the Hedgehog,6.5
The Incredible Jessica James,6.5
Bad Guys,7.9
Princess Jellyfish,6.1
City of God: 10 Years Later,6.4
ReMastered: Tricky Dick & The Man in Black,7.1
The Champions League,3.6
Just Mercy,7.6
Behind the Curtain: Todrick Hall,6.8
GOODNIGHT MOMMY,6.7
Natural Born Monsters,6.6
Robin Hood: Prince of Thieves,6.9
Hypnotic,5.3
Virunga,8.2
"LSD: Love, Sex Aur Dhokha",7.1
Don,7.8
"Newly Rich, Newly Poor",7.2
null,6.6
Mary Poppins Returns,6.7
null,6.2
Esperando la carroza,8.1
null,8
Me and Earl and the Dying Girl,7.7
null,6.7
ARASHI's Diary -Voyage-,7.6
Pateta - O Filme,6.9
null,5.3
The Cloverfield Paradox,5.5
null,7.8
The Maid,0
Beauty and the Bitches,0
Minsara Kanavu,6.9
Ms. Temper & Nam Jung Gi,7.4
A Week in Watts,6.3
"Yours, Mine and Ours",5.5
Nila,6.7
Journey of an African Colony,0
Secrets of the Saqqara Tomb,7.3
null,6.2
The Age of Adaline,7.2
Unbroken,7.2
null,6.5
My Suicide,7.1
In The Dark,6.8
Devi(L),5.5
Urban Legend,5.6
ReMastered: Massacre at the Stadium,7.3
Truth or Dare,5
The Thousand Faces of Dunjia,5.4
Kayko and Kokosh,6.4
Creator's File: GOLD,6.6
Creed II,7.1
3AnneFrank - Parallel Stories,6.5
[REC],7.4
null,8.4
Blue Exorcist,7.5
Rebecca,8.1
The Wound,6.7
Julie & Julia,7
The Department,4.9
Silent,6.3
Big Momma's House 2,4.8
Hantu Kak Limah,6
The Lost Café,6.9
AlRawabi School for Girls,7.4
Carrie,5.5
Love Station,0
Love,7
Glitter Force Doki Doki,6.5
Dead in a Week (Or Your Money Back),6.3
Notes on Blindness,7.1
Bigbug,5.4
Mariah Carey's All I Want for Christmas Is You,5
The Final Destination,5.2
Um Agente na Corda Bamba,6.3
Hello Ninja,6.6
I Know What You Did Last Summer,5.7
Fairy Tail: Dragon Cry,7.1
Burning Sands,6.1
Police Academy 2: Their First Assignment,5.8
Bridget Christie: Stand Up for Her,6.6
Ali & Ratu Ratu Queens,7.1
Most Haunted,5
Sisters,6
Dragons: Dawn of the Dragon Racers,7
Toy Story de Terror,7.5
Trapped,8
Angry Birds,6.4
Little Singham,3.6
Vice,7.2
Lying and Stealing,5.4
The Hobbit: An Unexpected Journey,7.8
The Ryuo's Work is Never Done!,6
Café con aroma de mujer,7.6
The Republic of Imbaba,0
HOMUNCULUS,5.5
Soul Reaper,2.2
February 9,0
Squid Game,8
The Inbetweeners,8.4
null,8.2
Kevin Hart: Let Me Explain,6.8
Swordfish,6.5
null,6.7
You are Beautiful,7.7
Country Comfort,7
Shaun of the Dead,7.9
Save Our Shelter,0
Kirk Cameron's Connect,3.4
Scream,7.1
Raja Natwarlal,6.1
The Ring,7.1
Lifeline,6.7
Gridiron Gang,6.9
Benji: Off the Leash!,5.1
Article 15,8.2
Kuroko's Basketball,8.3
Deliverance,7.7
Tidying Up with Marie Kondo,6.7
Phineas e Ferb: Através da 2ª Dimensão,7.4
Messiah,7.6
Violetta,5.4
Mahjong Legend Akagi: The Genius Who Descended Into the Darkness,7.8
A Lenda De Oz,5.1
What a Wonderful Family!,0
Cheech & Chong's Up in Smoke,0
null,7.4
The Last House on the Left,6.5
Godzilla Singular Point,6.6
He Is Psychometric,7.7
Car Dogs,5
null,5.3
The Laughing Salesman,7.2
Tu Hai Mera Sunday,7.8
What Still Remains,4.7
Brave Blue World: Racing to Solve Our Water Crisis,6.7
PINOCCHIO,0
El Vato,7
Robinson Crusoé,5.4
A Dogwalker's Christmas Tale,5.1
Teamo Supremo,4.1
The Land Before Time II: The Great Valley Adventure,6
Gone for Good,6.3
Manglehorn,5.6
The Witch: Part 1 - The Subversion,7.2
Below Deck,7.4
Bridesmaids,6.8
Full Out 2: You Got This!,4.7
Twenty Two,0
The Game,6.7
Evolution,6.1
Monsters vs. Aliens,6.4
Run On,7.6
null,7.5
Battlefield Recovery,6.5
White Collar,8.2
Dragons' Den,0
Resident Evil: Vendetta,6.3
The Land of Steady Habits,6.2
null,5.9
Stephen Fry in America,7.9
Swiped,3
Ibiza: Love Drunk,5.2
Black Panther,7.3
Chaahat,5.5
Redcon-1,4
Observe and Report,5.8
Unauthorized Living,7.5
Louis Theroux: Miami Mega-Jail,7.6
The Great Battle,7
The Guest,0
LEGO Jurassic World: Secret Exhibit,6.3
Olympus Has Fallen,6.5
St. Agatha,4.9
Assassins,6.3
Junebug,6.9
Magi,7.8
The Imaginarium of Doctor Parnassus,6.8
Start-Up,8.1
Spinning Out,7.6
null,2.8
The First Time,4
Chaotic Love Poems,6.4
I'll Always Know What You Did Last Summer,3.5
Misery,7.8
Sameer Abu Alneel,0
The Lies Within,7.1
Perdida,5.6
Iron Cowboy: The Story of the 50.50.50 Triathlon,0
Deranged,6.4
null,5.9
Getaway Plan,5.6
null,6.5
Marching Orders,6
Vivo,6.7
The Day My Butt Went Psycho!,2.5
The Flying Guillotine,6.7
Special Forces - Ultimate Hell Week,7.3
My Country: The New Age,8.3
The Sea Beast,0
Mumbai Delhi Mumbai,5.7
Inside the World’s Toughest Prisons,7.1
Mystic Pop-up Bar,8
null,7.6
Ferris Bueller's Day Off,7.8
El señor de los Cielos,6.9
The Two Popes,7.6
Bhavesh Joshi Superhero,7.6
(Un)Well,6.4
Ee Nagaraniki Emaindi,8
"O-Negative, Love Can’t Be Designed",0
Ratched,7.3
Shararat,4.6
Chappaquiddick,0
Love and Fury,6.4
Unlocked,6.3
Barbie: Star Light Adventure,6
Hotel Mumbai,7.6
The Innocence Files,8
Born Racer,6.2
Never Back Down 3,6.3
Bogus,5.4
A Private War,6.8
"Bikram: Yogi, Guru, Predator",6.7
A Family Affair,7
Alter Me,5.8
null,6.2
I Am All Girls,5.9
Bhagam Bhag,6.5
"Sincerely Yours, Dhaka",7
Crazy Delicious,6.7
Ocean's Eleven,7.7
Paradise Beach,4.5
The Circle,7.3
​Goli Soda 2,7.2
Tribes of Europa,6.8
Em Prova: Amiga do Inimigo,5.5
Juman,5.6
Strange Voices,6.5
Hiruko the Goblin,6
Into the Beat,5.3
Boyka: Undisputed,7
Kurup (Kannada),7.3
Werewolves Within,6
Just Like Heaven,6.7
Power Rangers: Megaforce,5.7
Johnny Test,5.2
Middle of Nowhere,6.4
Three Thieves,0
Enemy at the Gates,7.6
Paprika,7.7
Falling in Love Like a Romantic Drama,0
Love Storm,3.4
Slack Bay,6.1
Dragonheart 3: The Sorcerer's Curse,5.2
Show Bar,5.7
Kacche Dhaagey,6.5
Transformers,7
Tayo and Little Wizards,0
null,7.9
Tatu,4.2
Fantastic Four,4.2
Wok of Love,7.5
null,6.4
Sky Ladder: The Art of Cai Guo-Qiang,7.3
From Within,5.6
A Certain Scientific Railgun,7.6
Paris Can Wait,5.8
Scare Tactics,6.7
The Haunted House,0
The Official Story,7.8
Mohawk,0
Nailed It!,7.4
Penny Dreadful,8.2
null,6.9
Sitara: Let Girls Dream,8
The Housemaid,6.4
Kamen Rider 555: Paradise Lost,7.2
Acts of Vengeance,5.7
The Last Castle,7
Plunderer,6.5
Small Crimes,5.8
Stasis,3
Blood Money,5
Little Children,7.5
Shopaholic Louis,7.5
The Princess Bride,8.1
Qismat,8.4
null,9.7
The Naked Gun: From the Files of Police Squad!,7.6
A Fortunate Man,7.2
Under Suspicion: Uncovering the Wesphael Case,6.3
Sand Storm,6.8
Love Like the Falling Rain,4.9
Time to Hunt,6.3
12 Monkeys,7.7
Maya Memsaab,5.4
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,8
M8 - When Death Rescues Life,7.2
Dolphin Tale,6.8
Always a Witch,6.3
null,8.4
ID-0,6.2
